证券代码,证券简称,基金成立日
008066.OF,汇添富中盘积极成长C,2020-03-13
008077.OF,九泰天奕量化价值A,2020-05-29
008082.OF,国寿安保研究精选A,2019-12-30
008083.OF,国寿安保研究精选C,2019-12-30
008091.OF,中信保诚红利精选A,2019-12-25
008092.OF,中信保诚红利精选C,2019-12-25
008099.OF,广发价值领先A,2020-05-07
008116.OF,银华沪深股通,2020-05-14
008120.OF,万家自主创新A,2020-02-10
008121.OF,万家自主创新C,2020-02-10
008131.OF,景顺长城竞争优势,2020-08-06
008132.OF,鹏华价值驱动,2019-12-03
008133.OF,华安优质生活,2020-02-27
008135.OF,华宸未来价值先锋,2020-01-21
008137.OF,九泰天奕量化价值C,2020-05-29
008138.OF,富国龙头优势,2020-01-14
008150.OF,嘉实远见企业精选,2020-09-21
008174.OF,国泰蓝筹精选A,2020-02-27
008175.OF,国泰蓝筹精选C,2020-02-27
008178.OF,同泰慧盈A,2019-11-26
008179.OF,同泰慧盈C,2019-11-26
008180.OF,同泰慧利A,2020-07-03
008181.OF,同泰慧利C,2020-07-03
008185.OF,诺安研究优选A,2020-05-09
008186.OF,淳厚信睿核心精选A,2020-02-12
008187.OF,淳厚信睿核心精选C,2020-02-12
008188.OF,前海开源稳健增长三年,2020-03-18
008227.OF,宝盈研究精选A,2019-12-24
008228.OF,宝盈研究精选C,2019-12-24
008244.OF,上银鑫卓A,2020-01-21
008245.OF,圆信永丰致优A,2019-12-25
008246.OF,圆信永丰致优C,2019-12-25
008251.OF,汇安宜创量化精选A,2019-12-24
008252.OF,汇安宜创量化精选C,2019-12-24
008260.OF,长城价值优选,2020-03-18
008269.OF,大成睿享A,2019-12-30
008270.OF,大成睿享C,2019-12-30
008271.OF,大成优势企业A,2019-12-24
008272.OF,大成优势企业C,2019-12-24
008273.OF,广发优质生活A,2020-03-25
008274.OF,大成行业先锋A,2020-03-23
008275.OF,大成行业先锋C,2020-03-23
008276.OF,财通资管价值发现A,2020-03-23
008277.OF,财通资管行业精选,2020-04-01
008290.OF,华安现代生活,2020-04-26
008293.OF,农银汇理创新医疗,2020-01-21
008297.OF,广发价值优势,2020-03-02
008300.OF,人保量化锐进A,2020-12-23
008301.OF,人保量化锐进C,2020-12-23
008305.OF,大摩量化配置C,2019-12-18
008308.OF,华夏见龙精选,2020-05-15
008311.OF,圆信永丰优选价值A,2020-05-18
008312.OF,圆信永丰优选价值C,2020-05-18
008313.OF,光大保德信研究精选,2020-03-23
008317.OF,光大保德信睿盈,2021-09-01
008318.OF,博道久航A,2019-12-24
008319.OF,博道久航C,2019-12-24
008328.OF,诺安新兴产业,2020-03-10
008347.OF,中信建投价值甄选A,2019-12-23
008348.OF,中信建投价值甄选C,2019-12-23
008353.OF,泰达宏利消费行业量化精选A,2020-01-19
008354.OF,泰达宏利消费行业量化精选C,2020-01-19
008359.OF,华安医疗创新A,2020-04-15
008370.OF,国泰研究精选两年,2019-12-24
008371.OF,华安汇智精选两年,2019-12-18
008372.OF,富国阿尔法两年持有,2019-12-24
008373.OF,华泰柏瑞景气回报一年A,2019-12-18
008374.OF,华泰柏瑞景气回报一年C,2019-12-18
008375.OF,中欧启航三年持有期A,2019-12-24
008376.OF,中欧启航三年持有期C,2019-12-24
008378.OF,兴全社会价值三年持有,2019-12-26
008381.OF,前海开源新兴产业A,2020-04-13
008404.OF,华泰紫金泰盈A,2020-01-21
008405.OF,华泰紫金泰盈C,2020-01-21
008415.OF,国泰大制造两年持有,2020-05-29
008422.OF,中融研发创新A,2021-12-28
008423.OF,中融研发创新C,2021-12-28
008424.OF,中融品牌优选A,2020-05-14
008425.OF,中融品牌优选C,2020-05-14
008467.OF,博道嘉瑞A,2019-12-30
008468.OF,博道嘉瑞C,2019-12-30
008477.OF,安信价值驱动三年持有,2020-01-15
008480.OF,永赢股息优选A,2020-03-25
008481.OF,永赢股息优选C,2020-03-25
008491.OF,万家周期优势企业A,2021-05-07
008492.OF,万家周期优势企业C,2021-05-07
008507.OF,交银内核驱动,2020-01-13
008515.OF,富兰克林国海基本面优选,2020-02-13
008526.OF,华泰柏瑞行业精选A,2020-04-22
008527.OF,华泰柏瑞行业精选C,2020-04-22
008528.OF,华泰柏瑞质量成长A,2020-03-18
008531.OF,惠升惠民A,2020-03-05
008532.OF,惠升惠民C,2020-03-05
008545.OF,泓德丰润三年持有,2020-01-15
008546.OF,南方产业优势两年持有A,2020-08-14
008555.OF,华商龙头优势,2020-05-22
008576.OF,财通碳中和一年持有A,2023-03-01
008577.OF,财通碳中和一年持有C,2023-03-01
008602.OF,方正富邦新兴成长A,2020-08-28
008603.OF,方正富邦新兴成长C,2020-08-28
008633.OF,万家科技创新A,2020-01-07
008634.OF,万家科技创新C,2020-01-07
008635.OF,华安科技创新,2020-03-06
008638.OF,广发科技创新A,2019-12-25
008640.OF,方正富邦科技创新A,2020-01-21
008641.OF,方正富邦科技创新C,2020-01-21
008655.OF,招商科技创新A,2020-02-12
008656.OF,招商科技创新C,2020-02-12
008657.OF,景顺长城科技创新A,2020-03-18
008671.OF,银华科技创新,2020-01-16
008681.OF,鹏华价值成长,2020-02-10
008704.OF,广发高股息优享A,2020-01-20
008705.OF,广发高股息优享C,2020-01-20
008712.OF,景顺长城品质成长A,2020-01-03
008716.OF,鹏华优质回报两年定开,2020-02-28
008734.OF,交银科锐科技创新A,2020-01-20
008793.OF,博道嘉元A,2020-03-04
008794.OF,博道嘉元C,2020-03-04
008811.OF,鹏华科技创新,2020-01-15
008819.OF,农银汇理策略趋势,2020-03-13
008840.OF,德邦大消费A,2020-06-18
008841.OF,德邦大消费C,2020-06-18
008878.OF,国联安新蓝筹红利一年定开,2020-08-13
008884.OF,博远博锐A,2020-07-08
008885.OF,博远博锐C,2020-07-08
008891.OF,安信价值成长A,2020-03-18
008892.OF,安信价值成长C,2020-03-18
008901.OF,富国内需增长A,2020-03-26
008903.OF,广发科技先锋,2020-01-22
008919.OF,永赢科技驱动A,2020-02-18
008920.OF,永赢科技驱动C,2020-02-18
008949.OF,平安匠心优选A,2020-02-21
008950.OF,平安匠心优选C,2020-02-21
008954.OF,安信价值回报三年持有A,2020-02-26
008955.OF,交银创新领航,2020-02-27
008961.OF,华商科技创新,2020-03-06
008962.OF,建信科技创新A,2020-02-17
008963.OF,建信科技创新C,2020-02-17
008969.OF,睿远均衡价值三年A,2020-02-21
008970.OF,睿远均衡价值三年C,2020-02-21
008978.OF,银华长丰,2020-04-01
008980.OF,中邮科技创新精选A,2020-02-27
008981.OF,中邮科技创新精选C,2020-02-27
008983.OF,财通科技创新A,2020-07-07
008984.OF,财通科技创新C,2020-07-07
008988.OF,大成科技创新A,2020-04-29
008989.OF,大成科技创新C,2020-04-29
